variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,cohort
JAK1,NFIC,1592780.58098032,294526.376280918,0.001,0.001,0.94804067595812,0.947388314560547,0.898164500263128,2.25860529823145e-10,0.10905173462466,2.07113193201854e-09,1588492.62566673,289260.205694588,20,3,0,470,493,992704.214210173,2396493.7450803,73244.7800231128,763749.950764208,,65078598.2806252,,10564952.1306184,CLCA
JAK1,P4HA1,1510342.47471904,198384.270213741,75614712.3151543,0.001,0.691420693202764,0.986245661141166,0.121847284698476,1.00947010741376,0.0707000719695085,14.2782048064834,1588492.62566673,193930.284383822,19,1,1,472,493,928913.562896261,2294984.3072804,32986.7451075913,612593.643105005,3713006.13579588,,,13322369.4597963,CLCA
JAK1,PIK3CA,1595630.51945347,657001.208605632,0.001,0.001,0.915192236892014,0.91144439065395,0.834152033525365,1.68739696694564e-10,0.151360680104217,1.11481856832554e-09,1588492.62566673,641912.398767851,20,4,0,469,493,994476.424766167,2400792.65082958,203963.017632359,1526319.97260563,,37855640.9091957,,13701842.8660372,CLCA
JAK1,STAT3,1603806.51610251,2962342.68495583,0.001,0.001,0.8279497029035,0.866409632193707,0.717375302285215,1.42356731654483e-10,0.2807110956211,5.07128980204738e-10,1588492.62566673,2877868.28749327,20,5,0,468,493,999553.260031596,2413156.6621359,1062234.53347107,6367589.04266004,,17446240.720234,,40115588.8921529,CLCA
JAK1,TP53,1817588.46882538,640149.095633895,470528.67826423,0.001,0.268644090729192,0.176960170858717,0.0101910179076141,1.03329627872405,6.34061660234416,0.162964636332377,1588492.62566673,621436.350437663,19,146,1,327,493,1117508.21271271,2763351.22775261,541533.244917958,750249.957592758,26816.4166117334,2080271.25157759,,517365.868219405,CLCA
NFIC,P4HA1,289789.693442309,194666.569561572,0.001,0.001,0.994553652119079,0.992412205108053,0.987007218123738,5.31717899961495e-11,0.0122892954143809,4.32667522451515e-09,289260.205694588,193930.284383822,3,2,0,488,493,72066.8254014927,751451.65780098,32369.7323668718,601116.542951024,,125398037.220375,,55598916.4288081,CLCA
NFIC,PIK3CA,290242.607877603,644605.502770225,0.001,0.001,0.989900874971601,0.983424564828625,0.973492958960275,6.02563934078843e-11,0.0238715911118861,2.52418840141249e-09,289260.205694588,641912.398767851,3,4,0,486,493,72179.7866751634,752630.735843371,200116.623589972,1497482.65118348,,60330211.6286821,,84009193.7366974,CLCA
NFIC,STAT3,290155.394306068,2885308.15019051,0.001,0.001,0.990790047075248,0.987212606664911,0.978120536974342,4.52522664522517e-11,0.0236460160773676,1.9137374475341e-09,289260.205694588,2877868.28749327,3,5,0,485,493,72158.1058722937,752404.192431466,1034650.10921221,6201591.5526622,,66103809.6338402,,500317184.784268,CLCA
NFIC,TP53,347363.344721289,618828.067303644,0.001,1542865.67521777,0.923564518545806,0.908995116146282,0.907938937487772,1.027357669257,0.864247399379872,1.18873099299363,289260.205694588,621436.350437663,2,146,1,344,493,86376.4526215746,900958.068120789,523288.17134206,725499.67897817,,1860370.25961621,81987.8221877813,10588627.4673688,CLCA
P4HA1,PIK3CA,194908.070805402,644021.378059526,0.001,0.001,0.99000868585487,0.986996321593723,0.977135059948032,6.39123532743258e-11,0.0189168479070516,3.37859423453424e-09,193930.284383822,641912.398767851,2,4,0,487,493,32409.1361447353,601850.237381918,199935.453569114,1496125.79927306,,41951469.5638859,,116185202.951414,CLCA
P4HA1,STAT3,194694.508800875,2882221.24140675,0.001,0.001,0.992171771115309,0.992508057014075,0.984738539975681,4.46021710233738e-11,0.016132805266599,2.76468786961169e-09,193930.284383822,2877868.28749327,2,5,0,486,493,32373.6877215365,601189.772590872,1033541.97658529,6194935.19896483,,52823782.7947151,,906781740.14861,CLCA
P4HA1,TP53,224943.774555771,622842.349575809,0.001,0.001,0.743595133381016,0.739767606180632,0.550134803111334,2.10565945235608e-09,0.565084676533879,3.72627243278262e-09,193930.284383822,621436.350437663,2,147,0,344,493,37401.4235364647,694691.081899092,526979.386083194,729809.369805397,,1355803.90783439,,4675113.22895615,CLCA
PIK3CA,STAT3,645306.961014617,2888519.96231324,0.001,0.001,0.979250498362386,0.981784713063018,0.961413561468302,3.57299963270677e-11,0.0372037647400607,9.60386578528003e-10,641912.398767851,2877868.28749327,4,5,0,484,493,200330.216085093,1499082.40533922,1035800.67183522,6208505.86523105,,64228986.3762133,,340114443.590292,CLCA
PIK3CA,TP53,747401.665737109,624727.5161959,0.001,0.001,0.545013888958647,0.491231784421615,0.267825402607846,2.10043121784409e-09,1.15057012553084,1.82555688804715e-09,641912.398767851,621436.350437663,4,147,0,342,493,232007.981949547,1736598.22452178,528574.180117053,732048.671859548,,2193547.87917576,,1778292.78363009,CLCA
STAT3,TP53,3389404.35681772,627763.037826261,0.001,0.001,0.444801798752314,0.259636510696444,0.115686254204122,1.99230112962745e-09,1.65132487164044,1.20648647873164e-09,2877868.28749327,621436.350437663,5,147,0,341,493,1215165.45799157,7287765.51533985,531116.161061987,735646.306343561,,7415636.9658276,,907548.149508045,CLCA
CTNNB1,F5,13886.4311087291,3129.15378685875,0.001,0.001,0.6808933279008,0.604076651628512,0.411402423099367,2.06312392856799e-07,0.884427799598408,2.33272170945418e-07,13817.4340426639,2757.62868161908,83,4,0,283,370,11103.0264494797,17102.9380956207,971.335665029287,7270.85053527275,,74479.7082595393,,11219.2324562248,TCGA
CTNNB1,GNAS,13861.6857046126,1794.6783717942,0.001,8058.63847182018,0.97048467361712,0.919153789829012,0.822976051893385,1.15708398144735,0.670979365895885,1.72447028963763,13817.4340426639,2423.52333279258,82,2,1,285,370,11082.9994483088,17071.8395006357,298.431020536794,5543.00307500733,,206996.472701673,458.809427523693,35801.3767886834,TCGA
